Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
AMR1,,AMRIZE AG CMN,2025-10-24,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
AMR1,,AMRIZE AG CMN,2025-10-20,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
MTCH1,,NORTHERN YORK CNTY PA,2025-10-17,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-11-10,R,,House,Handfiled Trade,2025-11-12,,Texas,2025-11-12
AMR1,,AMRIZE AG CMN,2025-10-17,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
UST1,,AUSTIN TEX ELEC UTIL SYS,2025-10-17,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-11-10,R,,House,Handfiled Trade,2025-11-12,,Texas,2025-11-12
JASN1,,JACKSONVILLE FLA SPL REV,2025-10-17,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-11-10,R,,House,Handfiled Trade,2025-11-12,,Texas,2025-11-12
AMR1,,AMRIZE AG CMN,2025-10-15,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
AMR1,,AMRIZE AG CMN,2025-10-14,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
AMR1,,AMRIZE AG CMN,2025-10-08,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-11-06,D,,House,Handfiled Trade,2025-11-14,,California,2025-11-14
SPRI1,,SPDR INDEX SHS FDS PORT DEVELOPED SPDW,2025-07-17,Purchase,"$1,001 - $15,000",,,,"Charles J. ""Chuck"" Fleischmann",F000459,2025-08-15,R,,House,Handfiled Trade,2025-08-20,,Tennessee,2025-08-20
AIC1,,MSD INVESTMENT CORP,2025-06-27,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
USBC1,,U.S. BANCORP HYBRID PERPETUAL USD,2025-06-16,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-07-09,D,,House,Handfiled Trade,2025-07-11,,California,2025-07-11
USBC1,,U.S. BANCORP HYBRID PERPETUAL USD,2025-06-13,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-07-09,D,,House,Handfiled Trade,2025-07-11,,California,2025-07-11
ETW1,,[EATON CORP PLC CMN,2025-04-25,Purchase,"$15,001 - $50,000",,,,Ro Khanna,K000389,2025-05-12,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
TE1,,TE CONNECTIVITY CORPORATION CMN,2025-04-23,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-05-12,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
DTV1,,RCP DIRECT V,2025-04-15,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
DTV1,,RCP DIRECT V,2025-04-15,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
EFAX1,,NETFUX COM INC,2025-04-08,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2025-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
BAC1,,BANK AMERICA CORP COM,2025-04-04,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-05-12,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
BAC1,,BANK AMERICA CORP COM,2025-04-04,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-05-12,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
BAC1,,BANK AMERICA CORP COM,2025-04-04,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-05-12,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
AIC1,,MSD INVESTMENT CORP,2025-03-27,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
TE1,,TE CONNECTIVITY CORPORATION CMN,2025-01-17,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2025-02-06,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
TE1,,TE CONNECTIVITY CORPORATION CMN,2024-10-14,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2024-11-08,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
AIC1,,MSD INVESTMENT CORP,2024-09-27,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
SPRI1,,PRINCE GEORGES CNTY MD,2024-09-03,Sale,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2024-10-10,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
SPRI1,,PRINCE GEORGES CNTY MD,2024-09-03,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-10-10,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2024-08-09,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2024-09-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2024-08-08,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-09-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2024-08-08,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-09-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2024-08-02,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2024-09-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2024-08-02,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2024-09-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
UST1,,AUSTIN TEX ELEC UTIL SYS,2024-07-26,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2024-08-15,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
UST1,,AUSTIN TEX ELEC UTIL SYS,2024-07-26,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2024-08-15,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
ADT1,,ATUM CORP - SOLV,2024-07-08,Sale,"$1,001 - $15,000",,,,"Charles J. ""Chuck"" Fleischmann",F000459,2024-08-16,R,,House,Handfiled Trade,2025-05-20,,Tennessee,2025-05-20
AIC1,,MSD INVESTMENT CORP,2024-06-27,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
SPRI1,,PRINCE GEORGES CNTY MD,2024-06-24,Purchase,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2024-07-22,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
AIC1,,MSD INVESTMENT CORP,2024-06-05,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
WB1,,SCHWAB CHARLES CORP NEW,2024-05-28,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-06-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
SPRI1,,SPRINGDALE AR SLS & USE,2024-04-01,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-05-11,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
SPRI1,,SPRINGDALE AR SLS & USE,2024-04-01,Sale,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2024-05-11,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
AIC1,,MSD INVESTMENT CORP,2024-03-28,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2025-09-25,R,,House,Handfiled Trade,2025-09-27,,Texas,2025-09-27
SPRI1,,SPRINGDALE AR SLS & USE,2024-02-02,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2024-03-15,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
SPRI1,,SPRINGDALE AR SLS & USE,2024-02-02,Purchase,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2024-03-15,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
PUMP1,,TRIMAS CORP COM NEW,2023-11-01,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-12-09,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
PUMP1,,TRIMAS CORP COM NEW,2023-11-01,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-12-09,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-10-27,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-11-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-10-27,Sale,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-11-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
