Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-04-04,Purchase,"$50,001 - $100,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $320; EXPIRES 6/18/2026,Josh Gottheimer,G000583,2025-05-14,D, NJ05,House,,2025-05-15,4.07678135156362,New Jersey,2025-05-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Sale,"$250,001 - $500,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $325; EXPIRES 6/18/2026,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Sale,"$500,001 - $1,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $325; EXPIRES 6/18/2026,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 1/16/2026,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Purchase,"$500,001 - $1,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $320; EXPIRES 6/18/2026,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2025-02-14,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2025-03-06,D, NJ05,House,,2025-03-07,10.1349295630123,New Jersey,2025-03-07
AVGO,OP,BROADCOM INC. - COMMON STOCK,2025-01-29,Purchase,"$1,001 - $15,000",NEW, 150 MAIN STREET TRUST > PERSHING ADVISOR SOLUTIONS LLC BROKERAGE,"PUT OPTION, STRIKE PRICE $215, EXP. FEB. 21, 2025. FILING ID #20026726",Gilbert Cisneros,C001123,2025-02-11,D, CA31,House,,2025-02-12,59.6621760994778,California,2025-02-12
BRK.B,OP,BERKSHIRE HATHAWAY INC. NEW COMMON STOCK,2025-01-15,Purchase,"$50,001 - $100,000",NEW, LPL ACCOUNT I,EXP 01/17/25 CLASS B C 300.00,Rob Bresnahan,B001327,2025-02-13,R, PA08,House,,2025-02-14,-0.781159921949866,Pennsylvania,2025-02-14
BRK.B,OP,BERKSHIRE HATHAWAY INC. NEW COMMON STOCK,2025-01-15,Sale,"$15,001 - $50,000",NEW, LPL ACCOUNT I,C 380.00,Rob Bresnahan,B001327,2025-02-13,R, PA08,House,,2025-02-14,-0.781159921949866,Pennsylvania,2025-02-14
GOOGL,OP,ALPHABET INC. - CLASS A COMMON STOCK,2025-01-14,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $150 AND AN EXPIRATION DATE OF 1/16/26.,Nancy Pelosi,P000197,2025-01-17,D, CA11,House,,2025-01-20,40.527622554159,California,2025-01-20
AMZN,OP,"AMAZON.COM, INC. - COMMON STOCK",2025-01-14,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $150 AND AN EXPIRATION DATE OF 1/16/26.,Nancy Pelosi,P000197,2025-01-17,D, CA11,House,,2025-01-20,-12.3723007239946,California,2025-01-20
TEM,OP,"TEMPUS AI, INC. - CLASS A COMMON STOCK",2025-01-14,Purchase,"$50,001 - $100,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $20 AND AN EXPIRATION DATE OF 1/16/26.,Nancy Pelosi,P000197,2025-01-17,D, CA11,House,,2025-01-20,94.2900475613374,California,2025-01-20
VST,OP,VISTRA CORP. COMMON STOCK,2025-01-14,Purchase,"$500,001 - $1,000,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $50 AND AN EXPIRATION DATE OF 1/16/26.,Nancy Pelosi,P000197,2025-01-17,D, CA11,House,,2025-01-20,-10.1639427620504,California,2025-01-20
NVDA,OP,NVIDIA CORPORATION - COMMON STOCK,2025-01-14,Purchase,"$250,001 - $500,000",NEW,,PURCHASED 50 CALL OPTIONS WITH A STRIKE PRICE OF $80 AND AN EXPIRATION DATE OF 1/16/26.,Nancy Pelosi,P000197,2025-01-17,D, CA11,House,,2025-01-20,25.0101698869664,California,2025-01-20
BRK.B,OP,BERKSHIRE HATHAWAY INC. NEW COMMON STOCK,2025-01-13,Purchase,"$1,001 - $15,000",NEW, JOINT OWNERSHIP LPL ACCOUNT,CALL BERKSHIRE CL B NEW $300 EXP 01/17/25 CLASS B,Rob Bresnahan,B001327,2025-02-13,R, PA08,House,,2025-02-14,0.657585520054882,Pennsylvania,2025-02-14
STZ,OP,"CONSTELLATION BRANDS, INC. COMMON STOCK",2025-01-13,Purchase,"$1,001 - $15,000",NEW, 150 MAIN STREET TRUST > PERSHING ADVISOR SOLUTIONS LLC BROKERAGE,"PUT OPTION, STRIKE PRICE $205, EXP. JAN. 17, 2025.",Gilbert Cisneros,C001123,2025-02-11,D, CA31,House,,2025-02-12,-42.0618009614242,California,2025-02-12
BRK.B,OP,BERKSHIRE HATHAWAY INC. NEW COMMON STOCK,2025-01-13,Purchase,"$1,001 - $15,000",NEW, JOINT OWNERSHIP LPL ACCOUNT,CALL BERKSHIRE CL B NEW $300 EXP 01/17/25 CLASS B,Rob Bresnahan,B001327,2025-02-13,R, PA08,House,,2025-02-14,0.657585520054882,Pennsylvania,2025-02-14
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 9/19/2025,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 1/16/2026,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 9/19/2025,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-12-20,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 1/16/2026,Josh Gottheimer,G000583,2025-01-14,D, NJ05,House,,2025-01-15,-0.495472634939325,New Jersey,2025-01-15
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Sale,"$1,000,001 - $5,000,000",NEW,,,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 6/20/2025,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 9/19/2025,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $235; EXPIRES 6/20/2025,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Purchase,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 6/20/2025,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-11-19,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $240; EXPIRES 9/19/2025,Josh Gottheimer,G000583,2024-12-05,D, NJ05,House,,2024-12-06,3.96352003268949,New Jersey,2024-12-06
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-08-12,Sale,"$15,001 - $50,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $225; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2024-09-11,D, NJ05,House,,2024-09-12,-4.81805700618427,New Jersey,2024-09-12
AAPL,OP,APPLE INC. - COMMON STOCK,2024-07-31,Purchase,"$15,001 - $50,000",NEW,,PURCHASE TO CLOSE 01/17/24 CALLS,Laurel Lee,L000597,2024-09-14,R, FL15,House,,2024-09-16,1.30365402707177,Florida,2024-09-16
AVGO,OP,BROADCOM INC. - COMMON STOCK,2024-06-24,Purchase,"$1,000,001 - $5,000,000",NEW,,PURCHASED 20 CALL OPTIONS WITH A STRIKE PRICE OF $800 AND AN EXPIRATION DATE OF 6/20/25.,Nancy Pelosi,P000197,2024-07-02,D, CA11,House,,2024-07-03,97.9341303073148,California,2024-07-03
MSFT,OP,MICROSOFT CORPORATION - COMMON STOCK,2024-05-14,Sale,"$1,000,001 - $5,000,000",NEW, MORGAN STANLEY - PORTFOLIO MANAGEMENT ACTIVE ASSETS ACCOUNT,CALL OPTIONS; STRIKE PRICE $230; EXPIRES 12/19/2025,Josh Gottheimer,G000583,2024-06-08,D, NJ05,House,,2024-06-10,-9.86883462056525,New Jersey,2024-06-10
